"Task name","Description content","Status","Priority","List (ClickUp)","Tags","Subtasks","Area","Responsible Role","Sprint","Critical Path","Preconditions","Postconditions"
"Define brand strategy and positioning","Align the brand around broker pain, product promise and launch intent for ROVI Pocket.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,brand-strategy,sprint-b0,critical-path","Align ICP broker pain and brand personality | Define promise tagline and messaging house | Approve tone of voice claims and forbidden language","Brand Strategy","Brand Strategist / PMM Lead","Sprint B0","true","Product narrative and target broker profile are already defined","Brand positioning and messaging house are approved"
"Build visual identity system","Convert strategy into a recognizable visual system for launch and social execution.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,design,identity,sprint-b1,critical-path","Design avatar logo lockups and core marks | Define color typography and composition rules | Approve moodboard and visual direction","Brand Design","Brand Designer","Sprint B1","true","Brand strategy and messaging are approved","A usable identity system exists"
"Define social architecture and channel setup","Decide how the brand should live across priority networks and how CTA routing should work.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,social-media,architecture,sprint-b1,critical-path","Prioritize channels and objective by network | Resolve handles bios links and CTA routing | Define highlight featured and pinned structure","Social Media","Social Media Lead","Sprint B1","true","Brand positioning and identity foundations exist","Channel priorities and CTA structure are approved"
"Encamizar social profiles","Apply the brand coherently across all priority social surfaces.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,social-media,encamizado,sprint-b2,critical-path","Create avatars covers and banners by channel | Configure bios links and contact buttons | Load highlights pinned assets and featured sections","Brand Design + Social Media","Brand Designer","Sprint B2","true","Identity system and channel architecture are approved","Core social profiles are visually aligned and operational"
"Create content template system","Build a repeatable design system for recurring content, stories, reels and webinar promo assets.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,templates,content-design,sprint-b2,critical-path","Create carousel and feed templates | Create story and reel templates | Create webinar promo templates and CTA frames","Brand Design","Brand Designer","Sprint B2","true","Visual identity and social architecture are approved","Templates are ready for recurring content"
"Build branded asset pack","Create the polished support layer of icons, motion assets and art direction references.","To do","2","Branding ROVI Pocket","rovi-pocket,branding,creative,assets,sprint-b2,sprint-b3","Create icons stickers and support assets | Create logo motion intro outro and watermark kit | Define art direction references for future shoots","Motion / Creative","Motion Designer","Sprint B2-B3","false","Identity system is approved","Supporting asset pack exists"
"Prepare launch starter pack","Leave a first wave of publishable launch content ready to support product and webinar narrative.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,content,launch-pack,sprint-b3,critical-path","Define first 12-15 launch posts | Produce launch captions and copy | Align publish order with webinar and product narrative","Content + Social Media","Content Lead","Sprint B3","true","Template system is ready","Initial publishable content pack exists"
"Prepare webinar brand kit","Translate the brand into webinar-facing campaign assets and presentation materials.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,webinar,pmm,sprint-b3,critical-path","Create webinar visual key | Prepare speaker deck master and promo visuals | Prepare countdown replay and CTA assets","Product Marketing + Design","PMM Lead","Sprint B3","true","Brand system and webinar plan exist","Webinar visual kit is ready"
"Establish governance and brand ops","Prevent the brand from drifting after launch by defining rules and handoff process.","To do","2","Branding ROVI Pocket","rovi-pocket,branding,ops,governance,sprint-b3","Publish brand manual lite | Define file structure and naming conventions | Define approval flow and asset handoff","Marketing Ops","Marketing Ops Lead","Sprint B3","false","Identity system and templates exist","The team has a stable brand operating system"
"QA go-live and optimization","Validate all surfaces, publish the first wave and start the optimization loop.","To do","1","Branding ROVI Pocket","rovi-pocket,branding,qa,go-live,sprint-b3,sprint-b4,critical-path","Run cross-platform profile QA | Publish profiles and first asset wave | Review early metrics and create iteration backlog","Social Media + Marketing Ops","Social Media Lead","Sprint B3-B4","true","Profiles assets and launch pack exist","Branding project is live and measured"
