"Task name","Description content","Status","Priority","List (ClickUp)","Tags","Subtasks","Area","Responsible Role","Sprint","Critical Path","Preconditions","Postconditions"
"Congelar alcance MVP y Definition of Done","Definir alcance final de lanzamiento de Rovi Pocket, kill list, KPIs y definition of done por stream para evitar expansión de scope durante el build.","To do","1","Rovi Pocket MVP","mvp,product,sprint-0,critical-path","Cerrar lista de funcionalidades incluidas en MVP | Definir kill list y mover extras a post-MVP | Acordar Definition of Done por stream","Product","PM / Product Owner","Sprint 0","true","Existe demo funcional y plan maestro base","Backlog MVP aprobado y freeze comunicado"
"Cerrar contrato Pocket MVP y mapa de dependencias","Alinear qué se reutiliza del backend actual y qué endpoints o payloads faltan para el MVP de Pocket.","To do","1","Rovi Pocket MVP","mvp,backend,sprint-0,critical-path","Mapear endpoints backend ya reutilizables | Definir payloads mínimos para dashboard agenda y copilot | Publicar tabla de dependencias y gaps","Backend","Lead Backend","Sprint 0","true","Inventario de endpoints y flujos actuales disponible","Contrato Pocket MVP publicado y revisado"
"Hardening de auth y sesión persistente","Convertir el login real existente en una experiencia de sesión productiva con persistencia, bootstrapping y manejo básico de expiración.","To do","1","Rovi Pocket MVP","mvp,mobile,auth,sprint-1,critical-path","Crear capa de storage seguro para token y sesión | Refactorizar App shell para bootstrapping autenticado | Implementar logout y manejo básico de expiración","Mobile Frontend","Lead Mobile","Sprint 1","true","Contrato auth confirmado","Broker puede entrar y mantener sesión sin fricción"
"Operación real de leads etapas y actividades","Cerrar el flujo operativo principal del broker dentro de Pocket con persistencia de cambios sobre leads y actividad.","To do","1","Rovi Pocket MVP","mvp,backend,mobile,leads,sprint-1,sprint-2,critical-path","Normalizar lead list y lead detail para Pocket | Exponer update de etapa y notas actividad | Conectar quick actions a flujos persistentes | Agregar auditoría básica de actividad por lead","Backend + Mobile","Lead Backend","Sprint 1-2","true","Contrato de leads definido","Leads se operan con persistencia real"
"Dashboard Momentum con datos reales","Reemplazar señales mock del dashboard por momentum y actividad real del broker con foco operativo diario.","To do","1","Rovi Pocket MVP","mvp,product,backend,mobile,dashboard,sprint-2,sprint-3,critical-path","Definir dataset MVP del dashboard | Implementar endpoint o agregación para momentum | Conectar DashboardScreen a datos live","Product + Backend + Mobile","Lead Product","Sprint 2-3","true","Leads y actividades reales disponibles","Home muestra foco del día basado en datos reales"
"Agenda real y follow-up básico","Llevar la pantalla de agenda desde demo a operación con eventos básicos y seguimiento ligado a leads.","To do","1","Rovi Pocket MVP","mvp,backend,mobile,agenda,sprint-2,sprint-3,critical-path","Definir modelo mínimo de agenda y follow-up | Crear endpoints de agenda MVP | Conectar AgendaScreen y creación de follow-up","Backend + Mobile","Lead Backend","Sprint 2-3","true","Contrato de actividad y leads listo","Agenda diaria soporta seguimiento y eventos básicos"
"Copilot v1 con query real y scripts","Aterrizar un copiloto útil y acotado al MVP para resumen, objeciones, siguiente acción y scripts.","To do","1","Rovi Pocket MVP","mvp,ai,backend,mobile,copilot,sprint-3,sprint-4,critical-path","Definir casos de uso reales del copiloto MVP | Implementar query backend para copilot | Conectar CopilotScreen a backend real | Conservar generación de scripts como acción productiva","IA + Backend + Mobile","Lead AI","Sprint 3-4","true","Leads y agenda reales mínimas disponibles","Copilot responde con contexto real y acciones sugeridas"
"Importación CSV MVP para carga inicial","Habilitar una vía realista para cargar base inicial desde Pocket o flujo asistido reutilizando el backend existente.","To do","2","Rovi Pocket MVP","mvp,import,backend,mobile,sprint-2","Mapear flujo existente de import del backend | Diseñar UX mínima de importación en Pocket | Implementar happy path de importación CSV","Backend + Mobile","Lead Backend","Sprint 2","false","Flujo import del backend existente identificado","Broker puede cargar base inicial desde Pocket o flujo asistido"
"Pipeline técnico de beta y observabilidad mínima","Pasar de build demo a pipeline de beta controlada con APK interna repetible y observabilidad básica.","To do","1","Rovi Pocket MVP","mvp,devops,beta,sprint-4,critical-path","Configurar build interna Android repetible | Activar observabilidad mínima móvil | Documentar checklist de beta interna","DevOps","DevOps Lead","Sprint 4","true","Builds EAS y CI actuales disponibles","Existe beta interna repetible y trazable"
"QA funcional y readiness de lanzamiento","Asegurar que el MVP funciona como producto y no solo como demo mediante smoke funcional UAT y cierre de bugs críticos.","To do","1","Rovi Pocket MVP","mvp,qa,sprint-4,sprint-5,critical-path","Definir smoke suite por flujo crítico | Ejecutar UAT por sprint con Product | Triage de bugs P0 y P1 hasta sign-off","QA","QA Lead","Sprint 4-5","true","Flujos MVP implementados","No quedan defectos críticos abiertos"
"Release candidate y runbook operativo","Preparar salida controlada del MVP con RC distribuible, decisión go no-go y runbook de operación y soporte.","To do","1","Rovi Pocket MVP","mvp,release,pm,devops,sprint-5,critical-path","Generar release candidate Android y Web | Consolidar feedback beta y decisión go no-go | Publicar runbook de operación y soporte","PM + DevOps + Mobile","PM / DevOps","Sprint 5","true","QA sign-off y beta estable","Existe RC distribuible con soporte definido"
