"ID","Kanban","Epic","Task","Subtasks","Area","Primary Role","Dependencies","Target Sprint","Priority","Deliverable","Acceptance"
"PKT-001","Ready","Program Management","Scope freeze y PRD ejecutable","cerrar alcance MVP; cerrar kill list; definir criterios de éxito; aprobar plan maestro","Product","PM / Architect","Plan maestro aprobado","Sprint 0","P0","Scope y backlog congelados","Existe alcance aprobado y backlog priorizado"
"PKT-002","Ready","Architecture","Definir Pocket API / BFF","mapear endpoints reutilizables; diseñar endpoints nuevos; definir contratos JSON; acordar versionado","Backend","Lead Backend","Inventario backend actual","Sprint 0","P0","Especificación Pocket API","Contratos publicados y revisados por Mobile/IA"
"PKT-003","Ready","Foundations","Crear nuevo repositorio Pocket","bootstrap Expo; configurar TypeScript; Expo Router; secure storage; estructura base","Mobile","Lead Mobile","Decisión arquitectura","Sprint 0","P0","Repositorio operativo","App corre en Android, iOS y WebApp"
"PKT-004","Ready","Platform","Configurar CI/CD y observabilidad","GitHub Actions; EAS Build; EAS Submit; Sentry; PostHog; entornos","DevOps","DevOps Engineer","Repo creado","Sprint 0","P0","Pipeline técnico","Build y telemetry funcionando"
"PKT-005","Ready","UX Foundations","Diseñar navigation system mobile-first","bottom tabs; FAB; patrones de tarjetas; empty states; skeleton states","UX/UI","Product Designer","Aprobación de flujos núcleo","Sprint 0","P0","Design system base","Navegación y componentes aprobados"
"PKT-006","Ready","Identity","Implementar login y registro","pantallas auth; validaciones; secure token storage; logout; recovery placeholder","Mobile","Mobile Engineer","Pocket API auth","Sprint 1","P0","Auth operativo","Un broker puede entrar y salir sin errores críticos"
"PKT-007","Ready","Identity","Implementar onboarding del broker","metas; preferencias; perfil IA; permisos contactos/notificaciones; finalización onboarding","Mobile + Backend","Mobile Engineer","Auth y profile endpoints","Sprint 1","P0","Onboarding completo","Broker nuevo llega al home con setup guardado"
"PKT-008","Ready","Leads","Construir lista de leads","listado; búsqueda; filtros; estado visual; pull-to-refresh","Mobile","Mobile Engineer","Leads API base","Sprint 1","P0","Lead list","La lista carga rápido y filtra correctamente"
"PKT-009","Ready","Leads","Crear lead detail mobile","encabezado; timeline; insights rápidos; quick actions; notas visibles","Mobile","Mobile Engineer","Leads API base","Sprint 1","P0","Lead detail","Lead detail usable en menos de 3 toques por acción clave"
"PKT-010","Backlog","Leads","Gestión de etapas y actividades","mover etapa; registrar llamada; registrar WhatsApp; registrar nota; auditoría básica","Backend + Mobile","Backend Engineer","Lead detail","Sprint 2","P0","Pipeline operativo","Cambios de etapa y actividades quedan persistidos"
"PKT-011","Backlog","IA per Lead","Insights IA por lead","score operativo; resumen del lead; riesgo; oportunidad; siguiente mejor acción","IA","AI Engineer","Lead data limpia","Sprint 2","P0","AI insight card","Cada lead muestra insight útil y accionable"
"PKT-012","Backlog","Import","Implementar importación CSV","upload; preview; mapeo; dedupe; import result","Backend","Backend Engineer","Pocket API import","Sprint 2","P0","CSV import","Importa CSV con vista previa y deduplicación"
"PKT-013","Backlog","Import","Implementar importación de contactos","permisos; selector; normalización; envío batch; feedback al usuario","Mobile","Mobile Engineer","expo-contacts y API import","Sprint 2","P0","Contacts import","Se importan contactos del teléfono correctamente"
"PKT-014","Backlog","Import","Captura vía WhatsApp Share","share extension/intent; parseo de texto; sugerencia de lead; guardado como nota o lead","Mobile + IA","Mobile Engineer","Shell app y parser","Sprint 2","P1","WhatsApp capture","El usuario puede compartir texto y convertirlo en lead o nota"
"PKT-015","Backlog","Dashboard Inteligente","Definir modelo KPI y OKR","KPI set; reglas de cálculo; gaps vs metas; reglas de aging y SLA","Product + Backend","PM / Backend","Goals y activities model","Sprint 3","P0","Metrics model","El dashboard tiene dataset estable y consistente"
"PKT-016","Backlog","Dashboard Inteligente","Construir briefing diario","resumen del día; citas; leads calientes; riesgos; foco principal","IA + Backend","AI Engineer","Metrics model","Sprint 3","P0","Daily briefing","El broker entiende su prioridad diaria al abrir la app"
"PKT-017","Backlog","Dashboard Inteligente","Construir planner día/semana/mes","plan diario; plan semanal; plan mensual; top 5 acciones; rationale","IA + Backend","AI Engineer","Briefing diario","Sprint 3","P0","Planner IA","Se genera planeación accionable con datos reales"
"PKT-018","Backlog","Gamificación Personal","Implementar puntos, streaks y badges","modelo de puntos; streak diario; badges; progreso semanal/mensual","Product + Mobile","PM / Mobile","Events tracking","Sprint 3","P1","Módulo de progreso personal","El usuario ve progreso sin elementos de competencia de equipo"
"PKT-019","Backlog","AI Copilot","Construir context builder del agente","contexto por broker; contexto por lead; contexto por agenda; contexto por pipeline","IA + Backend","AI Engineer","Pocket API consolidada","Sprint 4","P0","Copilot context layer","El agente recibe contexto útil y compacto"
"PKT-020","Backlog","AI Copilot","Crear UI del chat","pantalla chat; prompts sugeridos; tarjetas accionables; loading states; historial corto","Mobile","Mobile Engineer","Design system y copilot contracts","Sprint 4","P0","Chat UI","El broker puede conversar con el agente de forma fluida"
"PKT-021","Backlog","AI Copilot","Habilitar tools del agente","create_note; create_task; create_event; update_lead_stage; draft_whatsapp; draft_email","Backend + IA","Backend Engineer","Context builder","Sprint 4","P0","Agent tool layer","El agente puede proponer y ejecutar acciones con confirmación"
"PKT-022","Backlog","AI Copilot","Generador de scripts comerciales","scripts llamada; scripts WhatsApp; scripts email; personalización por lead","IA","AI Engineer","Tool layer y context builder","Sprint 4","P0","Script generator","El agente genera scripts coherentes con el lead y el objetivo"
"PKT-023","Backlog","Calendar","Implementar agenda móvil","vista hoy; vista semana; detalle de evento; quick actions; asociación lead-evento","Mobile","Mobile Engineer","Calendar API","Sprint 4","P0","Agenda móvil","El broker puede gestionar agenda diaria desde el móvil"
