"Task ID","Parent Task ID","Type","Task Name","Area","Responsible Role","Sprint","Status","Priority","Critical Path","Preconditions","Postconditions","Description"
"PKWEB-001","","Task","Definir objetivo comercial audiencia y KPI del webinar","Product Marketing","Product Marketing Lead","Sprint W0","Planned","P0","Yes","Existe decisión de usar webinar como vehículo principal de lanzamiento","Existe brief comercial del webinar con KPI acordado","Alinear audiencia, promesa comercial, CTA y metas de funnel antes de producir activos."
"PKWEB-001.1","PKWEB-001","Subtask","Cerrar ICP y pains prioritarios","Product Marketing","Product Marketing Lead","Sprint W0","Planned","P0","Yes","Producto y segmento inicial definidos","Audiencia objetivo priorizada","Definir el perfil exacto de broker y los pains que más convierten."
"PKWEB-001.2","PKWEB-001","Subtask","Definir oferta CTA y outcome del webinar","Product Marketing + Sales","PMM Lead","Sprint W0","Planned","P0","Yes","ICP y pains definidos","CTA final aprobado","Elegir si el CTA será demo, piloto, onboarding o lista de espera calificada."
"PKWEB-001.3","PKWEB-001","Subtask","Acordar metas de registro asistencia demos y conversion","Growth","Growth Lead","Sprint W0","Planned","P1","No","CTA definido","KPI funnel publicado","Fijar objetivos base por etapa del funnel."
"PKWEB-002","","Task","Diseñar narrativa del webinar y mensaje de campaña","Product Marketing + Content","Content Strategist","Sprint W0","Planned","P0","Yes","Objetivo comercial y CTA definidos","Existe narrativa comercial consistente por canal","Convertir la propuesta de valor en una promesa clara y defendible."
"PKWEB-002.1","PKWEB-002","Subtask","Definir promesa central y titulo gancho","Product Marketing","PMM Lead","Sprint W0","Planned","P0","Yes","ICP y outcome acordados","Titulo aprobado","Redactar una promesa simple que justifique el registro."
"PKWEB-002.2","PKWEB-002","Subtask","Escribir agenda de 45-60 minutos y secuencia de CTA","Content","Content Strategist","Sprint W0","Planned","P0","Yes","Promesa central definida","Guion estructural del webinar listo","Ordenar apertura, valor, demo, objeciones y cierre."
"PKWEB-002.3","PKWEB-002","Subtask","Preparar mapa de objeciones y respuestas","Sales + Product Marketing","Sales Lead","Sprint W0","Planned","P1","No","Narrativa base definida","Listado de respuestas listas para vivo y follow-up","Anticipar fricciones de precio, tiempo, adopción y diferenciación."
"PKWEB-003","","Task","Construir funnel de registro y tracking","Marketing Ops","Marketing Ops Lead","Sprint W1","Planned","P0","Yes","Narrativa y CTA aprobados","Registro y tracking operativos","Asegurar que cada registro y asistencia pueda rastrearse hasta conversión."
"PKWEB-003.1","PKWEB-003","Subtask","Crear landing o formulario con UTM pixel y fuente","Marketing Ops","Marketing Ops Lead","Sprint W1","Planned","P0","Yes","Título y CTA final aprobados","Página o formulario publicable","Montar página o registro con captura de fuente y datos mínimos."
"PKWEB-003.2","PKWEB-003","Subtask","Configurar emails de confirmacion recordatorio y replay","Marketing Ops + Content","Lifecycle Lead","Sprint W1","Planned","P0","Yes","Registro operativo","Secuencia automática activa","Configurar flujo mínimo de confirmación, recordatorios y replay."
"PKWEB-003.3","PKWEB-003","Subtask","Crear dashboard de tracking por fuente y etapa","RevOps","RevOps Lead","Sprint W1","Planned","P1","No","UTMs y eventos definidos","Panel de control utilizable","Medir registrados, asistentes, intención y conversiones."
"PKWEB-004","","Task","Producir activos de campaña y kit creativo","Content + Design","Brand Designer","Sprint W1","Planned","P0","Yes","Narrativa, titulo y CTA definidos","Piezas aprobadas para campaña","Generar los activos mínimos para difusión consistente del webinar."
"PKWEB-004.1","PKWEB-004","Subtask","Redactar copies para email LinkedIn WhatsApp y anuncios","Content","Copy Lead","Sprint W1","Planned","P0","Yes","Promesa y CTA definidos","Banco de copies aprobado","Crear mensajes por canal manteniendo una misma narrativa."
"PKWEB-004.2","PKWEB-004","Subtask","Diseñar piezas visuales y versiones por canal","Design","Brand Designer","Sprint W1","Planned","P0","Yes","Copies base listos","Creatividades listas para publicar","Diseñar banners, miniaturas y piezas sociales del webinar."
"PKWEB-004.3","PKWEB-004","Subtask","Preparar kit para speakers aliados o partners","Content + Partnerships","Partnerships Lead","Sprint W1","Planned","P1","No","Activos principales listos","Kit distribuible","Dejar mensajes y piezas reutilizables para terceros."
"PKWEB-005","","Task","Activar captacion y convocatoria","Growth","Growth Lead","Sprint W2-W3","Planned","P0","Yes","Funnel y activos publicados","Se llena el webinar con audiencia correcta","Lanzar la convocatoria y optimizar la mezcla de canales."
"PKWEB-005.1","PKWEB-005","Subtask","Construir base priorizada de invitados y segmentos","Growth + CRM","Growth Lead","Sprint W2","Planned","P0","Yes","ICP definido","Base priorizada disponible","Segmentar prospectos, clientes tibios, referidos y audiencias lookalike."
