"Task name","Description content","Status","Priority","List (ClickUp)","Tags","Subtasks","Area","Responsible Role","Sprint","Critical Path","Preconditions","Postconditions"
"Definir objetivo comercial audiencia y KPI del webinar","Alinear audiencia, promesa comercial, CTA y metas de funnel antes de producir activos del lanzamiento por webinar.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,product-marketing,sprint-w0,critical-path","Cerrar ICP y pains prioritarios | Definir oferta CTA y outcome del webinar | Acordar metas de registro asistencia demos y conversion","Product Marketing","Product Marketing Lead","Sprint W0","true","Existe decisión de usar webinar como vehículo principal de lanzamiento","Existe brief comercial del webinar con KPI acordado"
"Diseñar narrativa del webinar y mensaje de campaña","Convertir la propuesta de valor de Rovi Pocket en una promesa clara, una agenda sólida y respuestas a objeciones.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,content,sprint-w0,critical-path","Definir promesa central y titulo gancho | Escribir agenda de 45-60 minutos y secuencia de CTA | Preparar mapa de objeciones y respuestas","Product Marketing + Content","Content Strategist","Sprint W0","true","Objetivo comercial y CTA definidos","Existe narrativa comercial consistente por canal"
"Construir funnel de registro y tracking","Asegurar que cada registro y asistencia del webinar pueda rastrearse hasta intención comercial y conversión.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,ops,tracking,sprint-w1,critical-path","Crear landing o formulario con UTM pixel y fuente | Configurar emails de confirmacion recordatorio y replay | Crear dashboard de tracking por fuente y etapa","Marketing Ops","Marketing Ops Lead","Sprint W1","true","Narrativa y CTA aprobados","Registro y tracking operativos"
"Producir activos de campaña y kit creativo","Generar los activos mínimos de copy y diseño para promover el webinar en todos los canales clave.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,content,design,sprint-w1,critical-path","Redactar copies para email LinkedIn WhatsApp y anuncios | Diseñar piezas visuales y versiones por canal | Preparar kit para speakers aliados o partners","Content + Design","Brand Designer","Sprint W1","true","Narrativa titulo y CTA definidos","Piezas aprobadas para campaña"
"Activar captacion y convocatoria","Llenar el webinar con audiencia correcta activando base propia, outreach multicanal y pruebas de distribución.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,growth,demand-gen,sprint-w2,sprint-w3,critical-path","Construir base priorizada de invitados y segmentos | Ejecutar secuencia outbound e inbound por canal | Lanzar pruebas pagadas o alianzas de distribucion","Growth","Growth Lead","Sprint W2-W3","true","Funnel y activos publicados","Se llena el webinar con audiencia correcta"
"Preparar demo comercial y oferta de cierre","Construir el núcleo comercial del webinar con una demo estable, prueba social y una oferta clara de siguiente paso.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,sales,demo,sprint-w2,sprint-w3,critical-path","Definir caso de uso en vivo y flujo demo estable | Preparar prueba social beneficios y antes despues | Diseñar oferta de cierre bono urgencia y siguiente paso","Product Marketing + Sales","PMM Lead","Sprint W2-W3","true","Narrativa del webinar aprobada","Existe demo convincente y oferta de cierre lista"
"Asegurar operacion tecnica y rehearsal del webinar","Blindar plataforma, roles y contingencias antes del vivo con un ensayo general completo.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,ops,rehearsal,sprint-w3,critical-path","Seleccionar plataforma registro streaming y backup | Ejecutar ensayo completo con speakers y moderacion | Publicar runbook del dia del evento y contingencias","Webinar Ops","Marketing Ops Lead","Sprint W3","true","Demo y oferta listas para ensayo","El webinar puede ejecutarse sin fricción técnica"
"Ejecutar webinar en vivo y captura de demanda","Operar el evento como momento de conversión, capturando asistencia, intención y preguntas accionables.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,live-event,sprint-w4,critical-path","Coordinar host moderacion encuestas y CTA en vivo | Capturar preguntas señales de compra y score de asistentes | Consolidar asistencia no show y leads calientes al cierre","Marketing + Sales","Webinar Host","Sprint W4","true","Ensayo y runbook completados","La demanda queda capturada y segmentada"
"Activar follow-up comercial de 72 horas","Capitalizar el interés generado inmediatamente después del webinar con replay segmentado y agendado comercial.","To do","1","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,sales,follow-up,sprint-w4,critical-path","Enviar replay segmentado por asistencia e intencion | Agendar demos onboarding o llamadas de cierre | Hacer cierre y reactivacion de leads templados","Sales + CRM","Sales Lead","Sprint W4","true","Asistencia y score consolidados","Leads calientes avanzan a conversación o cierre"
"Medir resultados y documentar siguiente iteracion","Convertir el webinar de lanzamiento en un playbook repetible basado en datos, objeciones y activos ganadores.","To do","2","Rovi Pocket Webinar Launch","rovi-pocket,webinar,marketing,analytics,playbook,sprint-w4","Analizar conversion por fuente mensaje y segmento | Documentar aprendizajes assets ganadores y objeciones | Definir backlog de optimizacion para el siguiente webinar","Growth + Product Marketing","Growth Lead","Sprint W4","false","Follow-up inicial completado","Existe playbook optimizado para siguiente webinar"
