"Task ID","Parent Task ID","Type","Task Name","Area","Responsible Role","Sprint","Status","Priority","Critical Path","Preconditions","Postconditions","Description"
"PKBR-001","","Task","Define brand strategy and positioning","Brand Strategy","Brand Strategist / PMM Lead","Sprint B0","Planned","P0","Yes","Product narrative and target broker profile are already defined","Brand positioning and messaging house are approved","Align the brand around broker pain, product promise and launch intent."
"PKBR-001.1","PKBR-001","Subtask","Align ICP broker pain and brand personality","Brand Strategy","Brand Strategist","Sprint B0","Planned","P0","Yes","Product scope and audience have been reviewed","Brand character is agreed","Translate the broker ICP into a concrete brand personality."
"PKBR-001.2","PKBR-001","Subtask","Define promise tagline and messaging house","Brand Strategy","PMM Lead","Sprint B0","Planned","P0","Yes","Brand personality is clear","Core promise and key messages are approved","Define the main promise, support messages and tagline territory."
"PKBR-001.3","PKBR-001","Subtask","Approve tone of voice claims and forbidden language","Brand Strategy + Content","Copy Lead","Sprint B0","Planned","P1","No","Messaging house exists","Team has clear writing guardrails","Document what the brand should and should not say."
"PKBR-002","","Task","Build visual identity system","Brand Design","Brand Designer","Sprint B1","Planned","P0","Yes","Brand strategy and messaging are approved","A usable identity system exists","Convert strategy into a recognizable visual system for launch."
"PKBR-002.1","PKBR-002","Subtask","Design avatar logo lockups and core marks","Brand Design","Brand Designer","Sprint B1","Planned","P0","Yes","Visual direction is approved","Primary and secondary marks exist","Create the brand marks needed for social, content and promo assets."
"PKBR-002.2","PKBR-002","Subtask","Define color typography and composition rules","Brand Design","Brand Designer","Sprint B1","Planned","P0","Yes","Core marks are progressing","Identity rules are documented","Lock the foundations of the brand system."
"PKBR-002.3","PKBR-002","Subtask","Approve moodboard and visual direction","Brand Design + PMM","Creative Director","Sprint B1","Planned","P1","No","Initial explorations are available","Visual direction is frozen","Choose the design lane that best matches ROVI Pocket."
"PKBR-003","","Task","Define social architecture and channel setup","Social Media","Social Media Lead","Sprint B1","Planned","P0","Yes","Brand positioning and identity foundations exist","Channel priorities and CTA structure are approved","Decide how the brand should live across priority networks."
"PKBR-003.1","PKBR-003","Subtask","Prioritize channels and objective by network","Social Media","Social Media Lead","Sprint B1","Planned","P0","Yes","Go-to-market objective is clear","Network priority matrix is approved","Decide what each network should do for the launch."
"PKBR-003.2","PKBR-003","Subtask","Resolve handles bios links and CTA routing","Social Media + Content","Social Media Lead","Sprint B1","Planned","P0","Yes","Priority channels are chosen","Handle and bio structure are ready","Standardize identity and CTA entry points across profiles."
"PKBR-003.3","PKBR-003","Subtask","Define highlight featured and pinned structure","Social Media","Community Lead","Sprint B1","Planned","P1","No","Channel architecture exists","Featured sections are mapped","Define how visitors should understand the brand at a glance."
"PKBR-004","","Task","Encamizar social profiles","Brand Design + Social Media","Brand Designer","Sprint B2","Planned","P0","Yes","Identity system and channel architecture are approved","Core social profiles are visually aligned and operational","Apply the brand coherently across social surfaces."
"PKBR-004.1","PKBR-004","Subtask","Create avatars covers and banners by channel","Brand Design","Brand Designer","Sprint B2","Planned","P0","Yes","Identity rules are ready","Channel-specific visual assets exist","Adapt the brand to each priority network surface."
"PKBR-004.2","PKBR-004","Subtask","Configure bios links and contact buttons","Social Media + Marketing Ops","Marketing Ops Lead","Sprint B2","Planned","P0","Yes","Channel assets and CTA routing are ready","Profiles are operational","Set up profile metadata and conversion paths."
"PKBR-004.3","PKBR-004","Subtask","Load highlights pinned assets and featured sections","Social Media","Social Media Lead","Sprint B2","Planned","P1","No","Profiles are configured","Profiles feel complete and intentional","Complete the visible structure of the profiles."
"PKBR-005","","Task","Create content template system","Brand Design","Brand Designer","Sprint B2","Planned","P0","Yes","Visual identity and social architecture are approved","Templates are ready for recurring content","Build a repeatable design system for content production."
"PKBR-005.1","PKBR-005","Subtask","Create carousel and feed templates","Brand Design","Brand Designer","Sprint B2","Planned","P0","Yes","Identity system is ready","Feed templates exist","Design reusable post templates for thought leadership and product content."
"PKBR-005.2","PKBR-005","Subtask","Create story and reel templates","Brand Design","Brand Designer","Sprint B2","Planned","P0","Yes","Feed direction is defined","Story and reel templates exist","Create assets for faster short-form production."
"PKBR-005.3","PKBR-005","Subtask","Create webinar promo templates and CTA frames","Brand Design + PMM","Brand Designer","Sprint B2","Planned","P0","Yes","Launch CTA is defined","Promo template kit exists","Prepare the visual system for webinar growth content."
"PKBR-006","","Task","Build branded asset pack","Motion / Creative","Motion Designer","Sprint B2-B3","Planned","P1","No","Identity system is approved","Supporting asset pack exists","Create the asset layer that makes the brand feel polished."
"PKBR-006.1","PKBR-006","Subtask","Create icons stickers and support assets","Motion / Creative","Motion Designer","Sprint B2","Planned","P1","No","Visual style is frozen","Brand support asset pack exists","Design reusable small assets for content and promo use."
"PKBR-006.2","PKBR-006","Subtask","Create logo motion intro outro and watermark kit","Motion / Creative","Motion Designer","Sprint B3","Planned","P1","No","Logo system exists","Motion kit is ready","Prepare lightweight motion assets for reels and video cuts."
"PKBR-006.3","PKBR-006","Subtask","Define art direction references for future shoots","Creative","Creative Director","Sprint B3","Planned","P2","No","Identity system is live","Future shoots have a visual guide","Document reference styles for photo and video production."
"PKBR-007","","Task","Prepare launch starter pack","Content + Social Media","Content Lead","Sprint B3","Planned","P0","Yes","Template system is ready","Initial publishable content pack exists","Leave a first wave of content ready to support launch."
"PKBR-007.1","PKBR-007","Subtask","Define first 12-15 launch posts","Content Strategy","Content Lead","Sprint B3","Planned","P0","Yes","Content pillars and launch story are aligned","Starter list of launch pieces is approved","Prioritize the first publishable content wave."
"PKBR-007.2","PKBR-007","Subtask","Produce launch captions and copy","Content","Copy Lead","Sprint B3","Planned","P0","Yes","Starter content list is approved","Copy pack is ready","Write the captions and CTA logic for the first publish cycle."
"PKBR-007.3","PKBR-007","Subtask","Align publish order with webinar and product narrative","Content + Social Media","Social Media Lead","Sprint B3","Planned","P0","Yes","Starter content and webinar plan exist","Publishing order is approved","Tie content sequence to the webinar funnel and launch story."
"PKBR-008","","Task","Prepare webinar brand kit","Product Marketing + Design","PMM Lead","Sprint B3","Planned","P0","Yes","Brand system and webinar plan exist","Webinar visual kit is ready","Translate the brand into webinar-facing campaign assets."
"PKBR-008.1","PKBR-008","Subtask","Create webinar visual key","Brand Design","Brand Designer","Sprint B3","Planned","P0","Yes","Brand direction is frozen","Webinar key visual exists","Create the main campaign visual identity for the webinar."
"PKBR-008.2","PKBR-008","Subtask","Prepare speaker deck master and promo visuals","Product Marketing + Design","PMM Lead","Sprint B3","Planned","P0","Yes","Key visual exists","Deck master and promo assets are ready","Make the webinar visually coherent from invite to presentation."
"PKBR-008.3","PKBR-008","Subtask","Prepare countdown replay and CTA assets","Brand Design + Social Media","Brand Designer","Sprint B3","Planned","P1","No","Core webinar visuals exist","Post-event and countdown kit exists","Support the full webinar lifecycle with branded assets."
"PKBR-009","","Task","Establish governance and brand ops","Marketing Ops","Marketing Ops Lead","Sprint B3","Planned","P1","No","Identity system and templates exist","The team has a stable brand operating system","Prevent the brand from drifting after launch."
"PKBR-009.1","PKBR-009","Subtask","Publish brand manual lite","Marketing Ops + Brand","Marketing Ops Lead","Sprint B3","Planned","P1","No","Identity rules are finalized","Brand manual is published","Document the core rules for using the brand."
"PKBR-009.2","PKBR-009","Subtask","Define file structure and naming conventions","Marketing Ops","Marketing Ops Lead","Sprint B3","Planned","P1","No","Assets are available","Files can be found and reused consistently","Standardize how assets are organized and named."
"PKBR-009.3","PKBR-009","Subtask","Define approval flow and asset handoff","Marketing Ops + PMM","PMM Lead","Sprint B3","Planned","P1","No","Roles are defined","Approval workflow is clear","Avoid launch delays and brand inconsistency."
"PKBR-010","","Task","QA go-live and optimization","Social Media + Marketing Ops","Social Media Lead","Sprint B3-B4","Planned","P0","Yes","Profiles assets and launch pack exist","Branding project is live and measured","Validate all surfaces and start the first optimization loop."
"PKBR-010.1","PKBR-010","Subtask","Run cross-platform profile QA","Social Media + QA","Social Media Lead","Sprint B3","Planned","P0","Yes","Profiles are configured","All priority profiles pass QA","Review avatars, covers, links, bios and mobile rendering."
"PKBR-010.2","PKBR-010","Subtask","Publish profiles and first asset wave","Social Media","Community Lead","Sprint B4","Planned","P0","Yes","QA is complete","Brand rollout is live","Publish the profile updates and initial branded assets."
"PKBR-010.3","PKBR-010","Subtask","Review early metrics and create iteration backlog","Social Media + PMM","Growth Lead","Sprint B4","Planned","P1","No","Initial wave is live","Optimization backlog is ready","Capture the first learning loop after go-live."
