Pilar,Tópico,Sección,Tema,Formato,Plantilla,Periodicidad,Estado,Fecha Publicacion,Interaccion 24h,Interaccion Ideal,Resultado,Notas
Venta Inmobiliaria de Alto Valor,Psicología del comprador,El Comprador de Lujo,El comprador de lujo NO busca precio busca esto...,Carrusel,Tipo A,Semanal,No Empezada,,,,,
Venta Inmobiliaria de Alto Valor,Psicología del comprador,El Comprador de Lujo,3 señales que tu prospecto tiene capacidad adquisitiva,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Venta Inmobiliaria de Alto Valor,Psicología del comprador,El Comprador de Lujo,La diferencia entre vender a un nacional vs un extranjero,Carrusel,Tipo A,Semanal,No Empezada,,,,,
Venta Inmobiliaria de Alto Valor,Técnicas de cierre,Cierre Express,Cuando el cliente dice es muy caro haz ESTO,Reel,Tipo A,Semanal,No Empezada,,,,,
Venta Inmobiliaria de Alto Valor,Técnicas de cierre,Cierre Express,El cierre por alternativa explicado con ejemplos,Reel,Tipo A,Semanal,No Empezada,,,,,
Venta Inmobiliaria de Alto Valor,Técnicas de cierre,Cierre Express,3 palabras que eliminan la objeción del precio,Reel,Tipo A,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,Automatización,Automatiza y Vende,El seguimiento que te olvidaste hacer...,Carrusel,Tipo C,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,Automatización,Automatiza y Vende,Secuencia de 5 emails que recupera leads fríos,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,Automatización,Automatiza y Vende,Cómo Rovi hace follow-up mientras duermes,Carrusel,Tipo C,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,IA en ventas,IA en tu Ventaja,Cómo usar IA para analizar leads en segundos,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,IA en ventas,IA en tu Ventaja,ChatGPT para escribir emails que convierten,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Tecnología y Herramientas CRM,IA en ventas,IA en tu Ventaja,El script de venta que te genera IA,Carrusel,Tipo A,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Calificación,Lead o No Lead,Cuánto tiempo debo seguir un lead antes de descartarlo,Carrusel,Tipo A,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Calificación,Lead o No Lead,El score de intención cómo saber si va a comprar,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Calificación,Lead o No Lead,3 señales de que tu lead NUNCA va a comprar,Carrusel,Tipo C,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Seguimiento,Secuencias Ganadoras,La secuencia de follow-up que cierra más ventas,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Seguimiento,Secuencias Ganadoras,Cuándo contactar por WhatsApp vs email,Carrusel,Tipo A,Semanal,No Empezada,,,,,
Gestión y Organización de Leads,Seguimiento,Secuencias Ganadoras,El recordatorio perfecto antes de una visita,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Email marketing,Emails que Convert,Asunto de email que ABRE el 70% de tus leads,Carrusel,Tipo B,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Email marketing,Emails que Convert,Secuencia de 7 emails para vender un lote en Tulum,Carrusel,Tipo D,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Email marketing,Emails que Convert,El email que recuperó 15 leads fríos en un día,Carrusel,Tipo C,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Publicidad digital,Ads para Inmobis,La estructura de anuncio que vende lotes en Tulum,Reel,Tipo B,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Publicidad digital,Ads para Inmobis,Meta Ads vs Google Ads para inmobiliarias,Reel,Tipo A,Semanal,No Empezada,,,,,
Estrategias de Marketing Inmobiliario,Publicidad digital,Ads para Inmobis,Cómo targetear compradores extranjeros,Reel,Tipo B,Semanal,No Empezada,,,,,
