"Task ID","Parent Task ID","Type","Task Name","Area","Responsible Role","Sprint","Status","Priority","Critical Path","Preconditions","Postconditions","Description"
"PKMVP-001","","Task","Congelar alcance MVP y Definition of Done","Product","PM / Product Owner","Sprint 0","In Progress","P0","Yes","Existe demo funcional y plan maestro base","Backlog MVP aprobado y freeze comunicado","Definir alcance final de lanzamiento, kill list, KPIs y criterios de aceptación."
"PKMVP-001.1","PKMVP-001","Subtask","Cerrar lista de funcionalidades incluidas en MVP","Product","PM / Product Owner","Sprint 0","Planned","P0","Yes","Plan maestro y estado actual revisados","Lista final de must-have validada","Documentar alcance cerrado del MVP."
"PKMVP-001.2","PKMVP-001","Subtask","Definir kill list y mover extras a post-MVP","Product","PM / Product Owner","Sprint 0","Planned","P0","No","Scope preliminar definido","Backlog sin ruido y sin features coladas","Sacar de ruta crítica share extension, offline avanzado, landing y gamificación completa."
"PKMVP-001.3","PKMVP-001","Subtask","Acordar Definition of Done por stream","Product","PM / Product Owner","Sprint 0","Planned","P0","Yes","Áreas y entregables identificados","Cada área tiene criterio de cierre verificable","Definir DoD para Mobile, Backend, IA, QA y DevOps."
"PKMVP-002","","Task","Cerrar contrato Pocket MVP y mapa de dependencias","Backend","Lead Backend","Sprint 0","In Progress","P0","Yes","Inventario de endpoints y flujos actuales disponible","Contrato Pocket MVP publicado y revisado","Alinear qué se reutiliza del backend actual y qué endpoints nuevos se requieren."
"PKMVP-002.1","PKMVP-002","Subtask","Mapear endpoints backend ya reutilizables","Backend","Lead Backend","Sprint 0","Planned","P0","Yes","Revisión de server.py y app móvil","Mapa de endpoints existentes","Identificar auth, leads, dashboard, script generation y rutas usables hoy."
"PKMVP-002.2","PKMVP-002","Subtask","Definir payloads mínimos para dashboard, agenda y copilot","Backend","Lead Backend","Sprint 0","Planned","P0","Yes","Mapa de endpoints reutilizables listo","Contratos JSON revisados por Mobile e IA","Reducir payloads a lo que Pocket realmente necesita."
"PKMVP-002.3","PKMVP-002","Subtask","Publicar tabla de dependencias y gaps","Backend","Lead Backend","Sprint 0","Planned","P1","No","Contratos preliminares definidos","Se conoce qué bloquea cada stream","Listar endpoint faltante, dueño y fecha objetivo."
"PKMVP-003","","Task","Hardening de auth y sesión persistente","Mobile Frontend","Lead Mobile","Sprint 1","Planned","P0","Yes","Contrato auth confirmado","Broker puede entrar y mantener sesión sin fricción","Convertir el login real existente en una experiencia de sesión productiva."
"PKMVP-003.1","PKMVP-003","Subtask","Crear capa de storage seguro para token y sesión","Mobile Frontend","Lead Mobile","Sprint 1","Planned","P0","Yes","Decisión técnica sobre almacenamiento","Token persiste entre aperturas","Agregar secure storage y estrategia de refresh o re-login."
